;keyword
0;carmencita
1;william_k.l._dickson
2;documentary
3;short
4;performing
5;on
6;what
7;looks
8;like
9;a
10;small
11;wooden
12;stage
13;wearing
14;dress
15;with
16;hoop
17;skirt
18;and
19;white
20;highheeled
21;pumps
22;does
23;dance
24;kicks
25;twirls
26;smile
27;always
28;her
29;face.
30;presumably
31;the
32;first
33;woman
34;ever
35;to
36;appear
37;in
38;kinetoscope
39;film
40;possibly
41;take
42;part
43;motion
44;picture
45;united
46;states
47;spaniard
48;dancer
49;performs
50;appealing
51;highkick
52;front
53;of
54;camera
55;william
56;k.l.
57;dickson
58;heise
59;for
60;thomas
61;edison.
62;this
63;segment
64;new
65;york
66;musichall
67;act
68;she
69;spins
70;exhibiting
71;an
72;admirable
73;talent
74;fashionable
75;really
76;charming
77;smile.
78;le
79;clown
80;et
81;ses
82;chiens
83;émile_reynaud
84;animation
85;300
86;individually
87;painted
88;images.
89;null
90;pauvre
91;pierrot
92;comedy
93;romance
94;one
95;night
96;arlequin
97;come
98;see
99;his
100;lover
101;colombine.
102;but
103;then
104;knocks
105;at
106;door
107;colombine
108;hide.
109;starts
110;singing
111;scares
112;him
113;poor
114;man
115;goes
116;away.
117;un
118;bon
119;bock
120;blacksmith
121;scene
122;three
123;men
124;hammer
125;anvil
126;pass
127;bottle
128;beer
129;around.
130;stationary
131;large
132;behind
133;it
134;either
135;side.
136;smith
137;middle
138;draws
139;heated
140;metal
141;rod
142;from
143;fire
144;places
145;all
146;begin
147;rhythmic
148;hammering.
149;after
150;several
151;blows
152;back
153;fire.
154;pulls
155;out
156;they
157;each
158;swig.
159;comes
160;glowing
161;hammering
162;resumes.
163;charles_kayser
164;john_ott
165;chinese
166;opium
167;den
168;corbett
169;courtney
170;before
171;kinetograph
172;william_heise
173;sport
174;james
175;j.
176;peter
177;meet
178;boxing
179;exhibition.
180;exhibition
181;special
182;conditions
183;that
184;will
185;allow
186;edison
187;company
188;match
189;show
190;their
191;kinetograph.
192;consists
193;six
194;oneminute
195;rounds.
196;popular
197;had
198;earlier
199;defeated
200;great
201;john
202;l.
203;sullivan
204;must
205;be
206;considered
207;heavy
208;favourite.
209;least
210;while
211;seems
212;holding
213;own.
214;james_j._corbett
215;peter_courtney
216;kinetoscopic
217;record
218;sneeze
219;edisons
220;assistant
221;takes
222;pinch
223;snuff
224;sneezes.
225;is
226;earliest
227;films
228;was
229;copyrighted
230;states.
231;fred_ott
232;miss
233;jerry
234;alexander_black
235;adventures
236;female
237;reporter
238;1890s.
239;geraldine
240;holbrook
241;girl
242;eastern
243;birth
244;decides
245;start
246;career
247;journalism
248;heart
249;feels
250;father
251;close
252;financial
253;crush.
254;process
255;falls
256;love
257;editor
258;paper
259;mr.
260;hamilton.
261;successful
262;article
263;leads
264;hamilton
265;into
266;doubting
267;makes
268;accept
269;job
270;london.
271;worries
272;prove
273;wrong
274;when
275;accepts
276;marry
277;leave
278;blanche_bayliss
279;william_courtenay
280;chauncey_depew
281;exiting
282;factory
283;louis_lumière
284;opens
285;big
286;gates
287;lumière
288;factory.
289;through
290;gateway
291;smaller
292;doorway
293;beside
294;workers
295;are
296;streaming
297;turning
298;left
299;or
300;right.
301;most
302;them
303;women
304;long
305;dresses
306;hats
307;some
308;men.
309;suddenly
310;apron
311;rushes
312;crowd
313;followed
314;by
315;dog.
316;last
317;bikes
318;gateway.
319;have
320;doorkeeper
321;closing
322;again.
323;akrobatisches
324;potpourri
325;max_skladanowsky
326;eight
327;circus
328;performers
329;known
330;as
331;grunato
332;family
333;perform
334;famous
335;balancing
336;act.
337;arrival
338;train
339;auguste_lumière
340;arrives
341;la
342;ciotat
343;station.
344;group
345;people
346;standing
347;straight
348;line
349;along
350;platform
351;railway
352;station
353;waiting
354;which
355;seen
356;coming
357;distance.
358;stops
359;dissolves.
360;doors
361;railwaycars
362;open
363;help
364;passengers
365;get
366;off.
367;madeleine_koehler
368;marcel_koehler
369;mrs._auguste_lumiere
370;jeanne-joséphine_lumière
371;rose_lumière
372;suzanne_lumière
373;photographical
374;congress
375;lyon
376;boat
377;descend
378;photographers
379;who
380;partecipate
381;lyone
382;dividing
383;two
384;diagonals
385;right
386;left.
387;someone
388;greets
389;operator.
390;members
391;french
392;photographic
393;society
394;arrive
395;riverboat
396;venue
397;neuvillesursaône
398;summer
399;day.
400;go
401;ashore
402;across
403;landing
404;stage.
405;among
406;many
407;straw
408;also
409;few
410;skirts.
411;lift
412;toward
413;photographer
414;passing.
415;carrying
416;own
417;cameras.
418;down
419;gangway
420;deck
421;numbers.
422;background
423;bridge
424;spans
425;river.
426;neuville
427;congress.
428;shot
429;morning.
430;actors
431;were
432;audience
433;afternoon.
434;p.j.c._janssen
435;sprinkler
436;sprinkled
437;gardener
438;watering
439;flowers
440;mischievous
441;boy
442;sneaks
443;up
444;puts
445;foot
